sgschooling_name,moe_school_name
TAMPINES,TAMPINES NORTH PRIMARY SCHOOL
TAMPINES NORTH,TAMPINES PRIMARY SCHOOL
TANJONG KATONG,TANJONG KATONG PRIMARY SCHOOL
TAO NAN,TAO NAN SCHOOL
TECK GHEE,TECK GHEE PRIMARY SCHOOL
TECK WHYE,TECK WHYE PRIMARY SCHOOL
TELOK KURAU,TELOK KURAU PRIMARY SCHOOL
TEMASEK,TEMASEK PRIMARY SCHOOL
TOWNSVILLE PRIMARY SCHOOL,TOWNSVILLE PRIMARY SCHOOL
UNITY,UNITY PRIMARY SCHOOL
VALOUR,VALOUR PRIMARY SCHOOL
WATERWAY,WATERWAY PRIMARY SCHOOL
WELLINGTON,WELLINGTON PRIMARY SCHOOL
WEST GROVE,WEST GROVE PRIMARY SCHOOL
WEST SPRING,WEST SPRING PRIMARY SCHOOL
WEST VIEW,WEST VIEW PRIMARY SCHOOL
WESTWOOD,WESTWOOD PRIMARY SCHOOL
WHITE SANDS,WHITE SANDS PRIMARY SCHOOL
WOODGROVE,WOODGROVE PRIMARY SCHOOL
WOODLANDS,WOODLANDS PRIMARY SCHOOL
WOODLANDS RING,WOODLANDS RING PRIMARY SCHOOL
XINGHUA,XINGHUA PRIMARY SCHOOL
XINGNAN,XINGNAN PRIMARY SCHOOL
XINMIN,XINMIN PRIMARY SCHOOL
XISHAN,XISHAN PRIMARY SCHOOL
YANGZHENG,YANGZHENG PRIMARY SCHOOL
YEW TEE,YEW TEE PRIMARY SCHOOL
YIO CHU KANG,YIO CHU KANG PRIMARY SCHOOL
YISHUN,YISHUN PRIMARY SCHOOL
YU NENG,YU NENG PRIMARY SCHOOL
YUHUA,YUHUA PRIMARY SCHOOL
YUMIN,YUMIN PRIMARY SCHOOL
ZHANGDE,ZHANGDE PRIMARY SCHOOL
ZHENGHUA,ZHENGHUA PRIMARY SCHOOL
ZHONGHUA,ZHONGHUA PRIMARY SCHOOL
